commit id,author,date,comment,changed files,lines added,lines deleted,
68fabc9d3,Siedlerchr,Thu Mar 31 10:29:39 2022,add changelog,   1 file changed, 1 insertion(+) ,,
915b5bf60,Siedlerchr,Wed Mar 30 11:51:22 2022,remove from merged,   1 file changed, 1 deletion(-) ,,
87209703d,Siedlerchr,Wed Mar 30 11:48:56 2022,state use,   2 files changed, 3 insertions(+), 1 deletion(-) ,
4fd89c76c,Siedlerchr,Wed Mar 30 11:45:24 2022,try wit explicit dependency,   1 file changed, 2 insertions(+), 1 deletion(-) ,
8c1612999,Siedlerchr,Wed Mar 30 11:21:32 2022,update to lucence 9.1,   2 files changed, 6 insertions(+), 8 deletions(-) ,
81f08ef0e,Siedlerchr,Wed Mar 30 10:59:05 2022,Merge remote-tracking branch 'upstream/main' into lucenceUpgrade, ,,,
71d6c7c33,Siedlerchr,Wed Mar 30 09:34:45 2022,"fix order of entries, duplicate old entry first",   1 file changed, 5 insertions(+), 5 deletions(-) ,
806e03748,Siedlerchr,Wed Mar 30 09:22:48 2022,Return on cancel,   1 file changed, 3 insertions(+), 4 deletions(-) ,
461979bf7,Siedlerchr,Tue Mar 29 10:24:07 2022,fix l10n,   1 file changed, 1 deletion(-) ,,
e661dadbd,Siedlerchr,Tue Mar 29 09:57:52 2022,Merge remote-tracking branch 'upstream/main' into checkKeygenOverwrite, ,,,
2bf53cb53,Siedlerchr,Tue Mar 29 09:42:48 2022,fix unit test,   1 file changed, 1 insertion(+), 2 deletions(-) ,
621ad26fb,Oliver Kopp,Mon Mar 28 16:53:21 2022,Add check for developer's documentation,   1 file changed, 1 insertion(+) ,,
93e12d702,Oliver Kopp,Mon Mar 28 16:07:04 2022,Merge GitBook view,   30 files changed, 1429 insertions(+), 738 deletions(-) ,
32fb34e23,Oliver Kopp,Mon Mar 28 14:55:51 2022,Refine special pages handling,   3 files changed, 17 insertions(+), 13 deletions(-) ,
d148a5472,Oliver Kopp,Mon Mar 28 14:31:40 2022,Work on CitationSTyleGeneratorTest (and fix PagesChecker),   5 files changed, 77 insertions(+), 29 deletions(-) ,
ac11c6877,Christoph,Mon Mar 28 13:15:37 2022,Fix zbMath fetcher (#8623),   3 files changed, 7 insertions(+), 5 deletions(-) ,
cc20997dc,Christoph,Mon Mar 28 13:01:15 2022,GitBook: [#56] No subject,   29 files changed, 32 insertions(+), 29 deletions(-) ,
0354542fb,Oliver Kopp,Mon Mar 28 13:00:36 2022,Merge remote-tracking branch 'origin/main' into fix-8372, ,,,
0ef029e3b,Ling Zhang,Mon Mar 28 11:03:42 2022,Add an extra dialog to ask the user whether they want to open the saved file folder when the export the entries (#8567),   9 files changed, 99 insertions(+), 74 deletions(-) ,
7b2b678d0,Siedlerchr,Mon Mar 28 10:53:12 2022,fix compile error,   1 file changed, 1 insertion(+), 1 deletion(-) ,
195c24095,Siedlerchr,Mon Mar 28 10:45:01 2022,Ajust l10n,   2 files changed, 2 insertions(+), 2 deletions(-) ,
d753e4d7b,Oliver Kopp,Mon Mar 28 10:16:29 2022,Refine comment,   1 file changed, 1 insertion(+), 1 deletion(-) ,
ad7e9ecb3,Oliver Kopp,Mon Mar 28 10:15:10 2022,"Add missing a""""",   1 file changed, 1 insertion(+), 1 deletion(-) ,
5dc45f979,Oliver Kopp,Mon Mar 28 10:14:42 2022,Remove additional space,   1 file changed, 1 insertion(+), 1 deletion(-) ,
7d84cf7f1,Carl Christian Snethlage,Mon Mar 28 10:02:19 2022,CHANGELOG.md,   1 file changed, 4 insertions(+), 4 deletions(-) ,
7a98af793,Carl Christian Snethlage,Mon Mar 28 09:47:34 2022,Merge branch 'main' into fix-for-issue-8195, ,,,
38197e36f,Carl Christian Snethlage,Mon Mar 28 09:38:29 2022,"used common notification pane for open folder message, fixed style issues, cleaned up",   5 files changed, 43 insertions(+), 75 deletions(-) ,
258180baf,Carl Christian Snethlage,Mon Mar 28 08:51:38 2022,refactored notification pane for database changes,   4 files changed, 50 insertions(+), 59 deletions(-) ,
4514bad7c,dependabot[bot],Mon Mar 28 08:43:21 2022,Bump checkstyle from 10.0 to 10.1 (#8620),   1 file changed, 1 insertion(+), 1 deletion(-) ,
75c1a03a4,dependabot[bot],Mon Mar 28 08:42:28 2022,Bump peter-evans/create-pull-request from 3 to 4 (#8619),   2 files changed, 2 insertions(+), 2 deletions(-) ,
38fc1890d,dependabot[bot],Mon Mar 28 08:41:47 2022,Bump pascalgn/automerge-action from 0.14.3 to 0.15.2 (#8618),   1 file changed, 1 insertion(+), 1 deletion(-) ,
e5310e9f2,dependabot[bot],Mon Mar 28 08:40:41 2022,Bump flexmark from 0.62.2 to 0.64.0 (#8621),   1 file changed, 1 insertion(+), 1 deletion(-) ,
659470241,dependabot[bot],Mon Mar 28 08:39:19 2022,Bump classgraph from 4.8.141 to 4.8.143 (#8622),   1 file changed, 1 insertion(+), 1 deletion(-) ,
e44297f4f,Carl Christian Snethlage,Mon Mar 28 03:12:05 2022,Update gradle-wrapper.properties,   1 file changed, 1 insertion(+) ,,
eeef2390e,Carl Christian Snethlage,Mon Mar 28 03:11:49 2022,Update gradle-wrapper.properties,   1 file changed, 1 insertion(+), 1 deletion(-) ,
d538cd27b,Carl Christian Snethlage,Mon Mar 28 03:11:29 2022,Update CHANGELOG.md,   1 file changed, 1 insertion(+), 3 deletions(-) ,
f7a694d25,Carl Christian Snethlage,Mon Mar 28 03:10:19 2022,Update JabRef_Main.xml,   1 file changed, 1 insertion(+), 1 deletion(-) ,
676f68497,Siedlerchr,Sun Mar 27 11:18:37 2022,checkstyle,   3 files changed, 2 insertions(+), 5 deletions(-) ,
8f5232ec6,Siedlerchr,Sun Mar 27 10:51:38 2022,Generate keys also after duplicate merge handling Also add to group,   5 files changed, 36 insertions(+), 44 deletions(-) ,
