"","X1","X2","X3","X4","X5","X6","X7","X8"
"1","68fabc9d3","Siedlerchr","Thu Mar 31 10:29:39 2022","add changelog","1 file changed","1 insertion(+)","",""
"2","915b5bf60","Siedlerchr","Wed Mar 30 11:51:22 2022","remove from merged","1 file changed","1 deletion(-)","",""
"3","4fd89c76c","Siedlerchr","Wed Mar 30 11:45:24 2022","try wit explicit dependency","1 file changed","2 insertions(+)","1 deletion(-)",""
"4","71d6c7c33","Siedlerchr","Wed Mar 30 09:34:45 2022","fix order of entries, duplicate old entry first","1 file changed","5 insertions(+)","5 deletions(-)",""
"5","806e03748","Siedlerchr","Wed Mar 30 09:22:48 2022","Return on cancel","1 file changed","3 insertions(+)","4 deletions(-)",""
"6","461979bf7","Siedlerchr","Tue Mar 29 10:24:07 2022","fix l10n","1 file changed","1 deletion(-)","",""
"7","2bf53cb53","Siedlerchr","Tue Mar 29 09:42:48 2022","fix unit test","1 file changed","1 insertion(+)","2 deletions(-)",""
"8","621ad26fb","Oliver Kopp","Mon Mar 28 16:53:21 2022","Add check for developer's documentation","1 file changed","1 insertion(+)","",""
"9","7b2b678d0","Siedlerchr","Mon Mar 28 10:53:12 2022","fix compile error","1 file changed","1 insertion(+)","1 deletion(-)",""
"10","d753e4d7b","Oliver Kopp","Mon Mar 28 10:16:29 2022","Refine comment","1 file changed","1 insertion(+)","1 deletion(-)",""
"11","ad7e9ecb3","Oliver Kopp","Mon Mar 28 10:15:10 2022","Add missing a""""""""","1 file changed","1 insertion(+)","1 deletion(-)",""
"12","5dc45f979","Oliver Kopp","Mon Mar 28 10:14:42 2022","Remove additional space","1 file changed","1 insertion(+)","1 deletion(-)",""
"13","7d84cf7f1","Carl Christian Snethlage","Mon Mar 28 10:02:19 2022","CHANGELOG.md","1 file changed","4 insertions(+)","4 deletions(-)",""
"14","4514bad7c","dependabot[bot]","Mon Mar 28 08:43:21 2022","Bump checkstyle from 10.0 to 10.1 (#8620)","1 file changed","1 insertion(+)","1 deletion(-)",""
"15","38fc1890d","dependabot[bot]","Mon Mar 28 08:41:47 2022","Bump pascalgn/automerge-action from 0.14.3 to 0.15.2 (#8618)","1 file changed","1 insertion(+)","1 deletion(-)",""
"16","e5310e9f2","dependabot[bot]","Mon Mar 28 08:40:41 2022","Bump flexmark from 0.62.2 to 0.64.0 (#8621)","1 file changed","1 insertion(+)","1 deletion(-)",""
"17","659470241","dependabot[bot]","Mon Mar 28 08:39:19 2022","Bump classgraph from 4.8.141 to 4.8.143 (#8622)","1 file changed","1 insertion(+)","1 deletion(-)",""
"18","e44297f4f","Carl Christian Snethlage","Mon Mar 28 03:12:05 2022","Update gradle-wrapper.properties","1 file changed","1 insertion(+)","",""
"19","eeef2390e","Carl Christian Snethlage","Mon Mar 28 03:11:49 2022","Update gradle-wrapper.properties","1 file changed","1 insertion(+)","1 deletion(-)",""
"20","d538cd27b","Carl Christian Snethlage","Mon Mar 28 03:11:29 2022","Update CHANGELOG.md","1 file changed","1 insertion(+)","3 deletions(-)",""
"21","f7a694d25","Carl Christian Snethlage","Mon Mar 28 03:10:19 2022","Update JabRef_Main.xml","1 file changed","1 insertion(+)","1 deletion(-)",""
"22","ee88e7fdc","Jonathan Oliveira","Sun Mar 27 10:09:10 2022","update test getPart (#8610)","1 file changed","7 insertions(+)","3 deletions(-)",""
"23","d4d2e76f2","Thiago Paiva","Sun Mar 27 10:08:59 2022","Add ControlHelper truncateString tests comments (#8612)","1 file changed","59 insertions(+)","",""
"24","e9d3e6798","Paulo Henrique Gontijo","Sat Mar 26 03:29:28 2022","Creating more unit tests for NumericFieldComparatorTest (#8604)","1 file changed","11 insertions(+)","",""
"25","a2a76d6c0","Oliver Kopp","Sat Mar 26 02:57:28 2022","Add test cases","1 file changed","372 insertions(+)","3 deletions(-)",""
"26","b73910af1","Natan Tavares Santana","Tue Mar 22 11:20:19 2022","StringUtilTest new test for method GetPart (#8594)","1 file changed","4 insertions(+)","1 deletion(-)",""
"27","aa49def00","Siedlerchr","Tue Mar 22 11:03:17 2022","Use unkown entry type","1 file changed","6 insertions(+)","9 deletions(-)",""
"28","d11449e71","Carl Christian Snethlage","Mon Mar 21 15:56:26 2022","Missed l10n for fetcher fix (#8597)","1 file changed","2 insertions(+)","",""
"29","387662865","dependabot[bot]","Mon Mar 21 09:31:58 2022","Bump ikonli-materialdesign2-pack from 12.3.0 to 12.3.1 (#8591)","1 file changed","1 insertion(+)","1 deletion(-)",""
"30","d923970e7","dependabot[bot]","Mon Mar 21 09:30:46 2022","Bump gittools/actions from 0.9.11 to 0.9.13 (#8587)","1 file changed","4 insertions(+)","4 deletions(-)",""
"31","4c69363ca","dependabot[bot]","Mon Mar 21 09:30:28 2022","Bump mockito-core from 4.3.1 to 4.4.0 (#8588)","1 file changed","1 insertion(+)","1 deletion(-)",""
"32","97a9c9a2b","dependabot[bot]","Mon Mar 21 09:29:55 2022","Bump flowless from 0.6.8 to 0.6.9 (#8590)","1 file changed","1 insertion(+)","1 deletion(-)",""
"33","52d99599b","dependabot[bot]","Mon Mar 21 09:29:30 2022","Bump ikonli-javafx from 12.3.0 to 12.3.1 (#8592)","1 file changed","1 insertion(+)","1 deletion(-)",""
"34","1afc60443","dependabot[bot]","Mon Mar 21 09:29:12 2022","Bump unirest-java from 3.13.6 to 3.13.7 (#8593)","1 file changed","1 insertion(+)","1 deletion(-)",""
"35","bf72e5077","github actions","Mon Mar 14 19:30:51 2022","Refresh example styles","1 file changed","9 insertions(+)","9 deletions(-)",""
"36","882d8de40","dependabot[bot]","Mon Mar 14 09:33:32 2022","Bump jackson-dataformat-yaml from 2.13.1 to 2.13.2 (#8568)","1 file changed","1 insertion(+)","1 deletion(-)",""
"37","d16f2827e","Oliver Kopp","Mon Mar 14 09:31:13 2022","Update Gradle Wrapper from 7.4 to 7.4.1. (#8565)","1 file changed","2 insertions(+)","2 deletions(-)",""
"38","cf9dc6127","dependabot[bot]","Mon Mar 14 09:30:38 2022","Bump org.eclipse.jgit from 6.0.0.202111291000-r to 6.1.0.202203080745-r (#8569)","1 file changed","1 insertion(+)","1 deletion(-)",""
"39","f610c5ed2","dependabot[bot]","Mon Mar 14 09:30:19 2022","Bump jackson-datatype-jsr310 from 2.13.1 to 2.13.2 (#8570)","1 file changed","1 insertion(+)","1 deletion(-)",""
"40","4e88e427a","dependabot[bot]","Mon Mar 14 09:29:31 2022","Bump libreoffice from 7.3.0 to 7.3.1 (#8571)","1 file changed","1 insertion(+)","1 deletion(-)",""
